id;nome;descricao;created_at;updated_at;deleted_at
1;clumsy;../fake-data/blob/hipster.txt;2024-05-27T18:15:37;2024-05-27T15:20:14;2024-05-28T12:42:54
2;irritably zinc floodlight;../fake-data/blob/hipster.txt;2024-05-27T15:37:30;2024-05-28T08:21:41;2024-05-28T01:27:00
3;telex infinite sharply;../fake-data/blob/hipster.txt;2024-05-27T18:12:00;2024-05-28T03:15:23;2024-05-28T01:31:53
4;cotton;../fake-data/blob/hipster.txt;2024-05-28T13:07:47;2024-05-27T18:21:57;2024-05-27T23:14:53
5;once;../fake-data/blob/hipster.txt;2024-05-27T21:21:30;2024-05-28T08:28:53;2024-05-28T03:08:36
6;successfully;../fake-data/blob/hipster.txt;2024-05-27T23:03:42;2024-05-27T20:32:20;2024-05-27T21:20:05
7;geez for;../fake-data/blob/hipster.txt;2024-05-28T04:11:10;2024-05-27T16:50:05;2024-05-28T14:15:06
8;rich enlightened justly;../fake-data/blob/hipster.txt;2024-05-27T17:57:04;2024-05-28T13:58:39;2024-05-27T22:26:50
9;urgently but once;../fake-data/blob/hipster.txt;2024-05-27T17:32:23;2024-05-28T04:18:38;2024-05-28T08:04:34
10;wooden;../fake-data/blob/hipster.txt;2024-05-27T19:02:01;2024-05-28T13:52:59;2024-05-27T18:49:42
