id;nome;descricao;created_at;updated_at;deleted_at
1;sans thankfully loosely;../fake-data/blob/hipster.txt;2024-05-28T05:29:33;2024-05-28T04:40:47;2024-05-28T01:07:18
2;angel grand;../fake-data/blob/hipster.txt;2024-05-28T06:23:22;2024-05-28T05:57:54;2024-05-27T15:39:21
3;cradle ugh till;../fake-data/blob/hipster.txt;2024-05-28T11:51:12;2024-05-28T04:45:17;2024-05-27T15:47:59
4;nor after if;../fake-data/blob/hipster.txt;2024-05-28T12:30:42;2024-05-28T14:49:19;2024-05-28T12:36:34
5;between;../fake-data/blob/hipster.txt;2024-05-27T14:58:03;2024-05-28T09:02:32;2024-05-27T17:31:59
6;anxiously;../fake-data/blob/hipster.txt;2024-05-28T11:35:17;2024-05-27T18:47:08;2024-05-27T15:41:36
7;worthy;../fake-data/blob/hipster.txt;2024-05-28T02:51:15;2024-05-28T01:07:50;2024-05-27T23:47:50
8;lightly;../fake-data/blob/hipster.txt;2024-05-27T15:51:28;2024-05-28T07:46:12;2024-05-27T18:23:52
9;ouch save rapidly;../fake-data/blob/hipster.txt;2024-05-28T08:24:45;2024-05-27T19:31:16;2024-05-27T20:15:43
10;deduction seaplane hm;../fake-data/blob/hipster.txt;2024-05-27T21:37:45;2024-05-27T21:55:01;2024-05-28T00:31:35
