id;numero;data;created_at;updated_at;deleted_at
1;22493;2024-05-28;2024-05-27T21:44:22;2024-05-28T00:06:47;2024-05-28T08:26:30
2;29354;2024-05-28;2024-05-27T20:33:03;2024-05-27T22:14:09;2024-05-27T19:18:42
3;7450;2024-05-28;2024-05-27T21:57:07;2024-05-28T07:13:14;2024-05-28T05:25:08
4;12547;2024-05-28;2024-05-27T17:19:25;2024-05-27T16:22:46;2024-05-28T07:20:01
5;28542;2024-05-27;2024-05-28T13:58:57;2024-05-28T03:27:48;2024-05-28T11:15:52
6;29388;2024-05-28;2024-05-28T07:27:50;2024-05-27T16:01:25;2024-05-28T10:16:23
7;7617;2024-05-28;2024-05-27T17:55:36;2024-05-28T09:37:24;2024-05-28T06:17:35
8;2998;2024-05-28;2024-05-27T19:47:05;2024-05-28T08:17:30;2024-05-28T11:42:13
9;30736;2024-05-28;2024-05-28T07:52:42;2024-05-27T21:33:55;2024-05-28T07:46:20
10;22208;2024-05-27;2024-05-28T14:08:45;2024-05-27T21:00:24;2024-05-28T08:59:48
