id;nome;sigla;created_at;updated_at;deleted_at
1;beneath;intrepid in;2024-05-27T18:57:19;2024-05-28T10:02:34;2024-05-28T08:44:56
2;fooey;unfold happily inside;2024-05-28T14:05:52;2024-05-27T17:31:29;2024-05-28T08:35:09
3;striped circa;on of kiddingly;2024-05-28T07:41:16;2024-05-27T22:51:48;2024-05-27T15:29:03
4;manage whoever;opposite;2024-05-28T13:44:56;2024-05-27T23:10:24;2024-05-28T14:03:21
5;yesterday;testimony anti before;2024-05-28T02:22:25;2024-05-28T06:56:38;2024-05-28T04:00:46
6;ectodermal dearly oof;what animated;2024-05-28T07:51:58;2024-05-27T23:39:13;2024-05-28T09:34:45
7;suspicious yet;even whirlwind yawningly;2024-05-27T22:36:29;2024-05-27T23:06:38;2024-05-27T15:46:22
8;firm frustrate;majestically about;2024-05-28T06:16:18;2024-05-28T07:57:59;2024-05-28T06:04:30
9;blindly;whenever drat astride;2024-05-28T01:07:11;2024-05-28T03:20:57;2024-05-27T21:01:32
10;raccoon;stow;2024-05-28T06:58:00;2024-05-27T19:42:34;2024-05-28T08:49:41
